Time,timefit,Condition,Gate,TOF,Extinction,Green,logGreen
T0,0,High -,R4,1976,1990,3188.00,8.06714904
T0,0,High -,R4,1595,2323,1618.00,7.388946098
T0,0,High -,R4,2453,3142,2116.00,7.657282793
T0,0,High -,R4,1997,2674,1507.00,7.317876199
T0,0,High -,R4,1637,2510,2274.00,7.729295674
T0,0,High -,R4,2252,3130,2352.00,7.763021309
T0,0,High -,R4,2377,1995,2065.00,7.632885505
T0,0,High -,R4,1792,2122,2038.00,7.619724214
T0,0,High -,R4,2095,2253,1222.00,7.10824414
T0,0,High -,R4,1870,1802,2760.00,7.922985959
T0,0,High -,R4,1903,2801,2893.00,7.970049305
T0,0,High -,R4,1618,2212,1971.00,7.586296307
T0,0,High -,R4,2185,2848,2095.00,7.647308832
T0,0,High -,R4,2197,2474,3050.00,8.02289687
T0,0,High -,R4,2178,2671,3924.00,8.274866821
T0,0,High -,R4,1875,2700,3052.00,8.023552392
T0,0,High -,R4,1435,2319,1508.00,7.318539549
T0,0,High -,R4,1937,2396,1607.00,7.382124366
T0,0,High -,R4,2021,2780,1582.00,7.366445148
T0,0,High -,R4,1941,2133,1096.00,6.999422468
T0,0,High -,R4,1446,2152,2220.00,7.705262475
T0,0,High -,R4,1870,1903,993.00,6.900730664
T0,0,High -,R4,2196,3058,1725.00,7.452982329
T0,0,High -,R4,1819,2136,929.00,6.834108739
T0,0,High -,R4,2008,3038,1741.00,7.46221494
T0,0,High -,R4,1860,1958,1153.00,7.05012252
T0,0,High -,R4,2464,3501,1133.00,7.032624261
T0,0,High -,R4,2045,2847,1344.00,7.203405521
T0,0,High -,R4,1778,2042,1770.00,7.478734826
T0,0,High -,R4,2075,2853,1165.00,7.060476366
T0,0,High -,R4,1675,2424,1210.00,7.098375639
T0,0,High -,R4,2518,2913,1891.00,7.544861069
T0,0,High -,R4,1537,2204,2191.00,7.69211334
T0,0,High -,R4,2362,2973,1628.00,7.395107547
T0,0,High -,R4,1943,2781,1596.00,7.375255778
T0,0,High -,R4,1996,1655,1220.00,7.106606138
T0,0,High -,R4,1737,2628,2585.00,7.857480787
T0,0,High -,R4,1313,2001,850.00,6.745236349
T0,0,High -,R4,1652,2233,2074.00,7.637234389
T0,0,High -,R4,2303,3089,1065.00,6.970730078
T0,0,High -,R4,2412,3136,1456.00,7.283448229
T0,0,High -,R4,2168,3256,2155.00,7.675546003
T0,0,High -,R4,1902,2030,1210.00,7.098375639
T0,0,High -,R4,1579,2457,910.00,6.8134446
T0,0,High -,R4,2157,2351,2403.00,7.784473236
T0,0,High -,R4,2449,2951,3882.00,8.264105764
T0,0,High -,R4,2230,3000,3408.00,8.133880888
T0,0,High -,R4,2118,2480,1861.00,7.528869257
T0,0,High -,R4,2128,2681,2430.00,7.795646536
T0,0,High -,R4,2276,2804,3455.00,8.147577736
T0,0,High -,R4,2057,2178,2428.00,7.794823152
T0,0,High -,R4,1800,2341,1401.00,7.244941546
T0,0,High -,R4,1926,2451,915.00,6.818924065
T0,0,High -,R4,1703,2650,2257.00,7.721791777
T0,0,High -,R4,2088,2587,1966.00,7.583756301
T0,0,High -,R4,2103,2489,2115.00,7.656810091
T0,0,High -,R4,2041,2240,2277.00,7.730614066
T0,0,High -,R4,1807,2419,1849.00,7.522400231
T0,0,High -,R4,2131,2849,1947.00,7.574045005
T0,0,High -,R4,1867,2595,2719.00,7.908019445
T0,0,High -,R4,1934,2153,1498.00,7.311886164
T0,0,High -,R4,2036,2645,3278.00,8.094988759
T0,0,High -,R4,2055,1404,2964.00,7.994294986
T0,0,High -,R4,1393,2070,1155.00,7.051855623
T0,0,High -,R4,2130,2733,1204.00,7.093404626
T0,0,High -,R4,2655,3548,1214.00,7.101675972
T0,0,High -,R4,2219,3128,3188.00,8.06714904
T0,0,High -,R4,1888,2594,3120.00,8.045588281
T0,0,High -,R4,1793,2614,3191.00,8.068089626
T0,0,High -,R4,2223,2503,3217.00,8.076204527
T0,0,High -,R4,2385,3554,1426.00,7.262628601
T0,0,High -,R4,2137,3078,1129.00,7.029087564
T0,0,High -,R4,1902,2297,2540.00,7.83991936
T0,0,High -,R4,2141,2581,1038.00,6.945051064
T0,0,High -,R4,1587,2344,948.00,6.854354502
T0,0,High -,R4,1774,1922,2045.00,7.623153068
T0,0,High -,R4,1849,2375,1433.00,7.267525428
T0,0,High -,R4,1626,2519,919.00,6.823286122
T0,0,High -,R4,1581,2637,2029.00,7.61529834
T0,0,High -,R4,1516,2366,2034.00,7.617759577
T0,0,High -,R4,2103,2302,1610.00,7.383989458
T0,0,High -,R4,1860,1933,2307.00,7.743703258
T0,0,High -,R4,1956,2270,1477.00,7.297768283
T0,0,High -,R4,1534,1998,2357.00,7.765144903
T0,0,High -,R4,1741,2610,937.00,6.842683282
T0,0,High -,R4,2404,2961,1405.00,7.247792582
T0,0,High -,R4,2017,2711,1103.00,7.005789019
T0,0,High -,R4,2583,3461,1362.00,7.216709487
T0,0,High -,R4,2220,2846,2082.00,7.641084249
T0,0,High -,R4,2721,3880,1096.00,6.999422468
T0,0,High -,R4,1897,2412,2254.00,7.720461695
T0,0,High -,R4,2390,2603,1442.00,7.273786318
T0,0,High -,R4,2019,2817,2311.00,7.74543561
T0,0,High -,R4,2397,3469,1215.00,7.102499356
T0,0,High -,R4,1919,2609,1373.00,7.224753406
T0,0,High -,R4,1401,2460,1253.00,7.133295955
T0,0,High -,R4,2211,2655,1038.00,6.945051064
T0,0,High -,R4,1750,2073,899.00,6.801283034
T0,0,High -,R4,2216,2944,1427.00,7.263329617
T0,0,High -,R4,2321,2512,1405.00,7.247792582
T0,0,High -,R4,1885,1854,3323.00,8.108623268
T0,0,High -,R4,1544,2444,1034.00,6.941190055
T0,0,High -,R4,1771,2498,1333.00,7.19518732
T0,0,High -,R4,1997,2051,3616.00,8.193123722
T0,0,High -,R4,2012,2877,2843.00,7.952615112
T0,0,High -,R4,1723,2447,1355.00,7.211556733
T0,0,High -,R4,2086,2441,2176.00,7.685243608
T0,0,High -,R4,1660,2384,1271.00,7.147559271
T0,0,High -,R4,2151,2843,2309.00,7.744569809
T0,0,High -,R4,1583,2343,2505.00,7.826044014
T0,0,High -,R4,1438,1556,2383.00,7.776115477
T0,0,High -,R4,1965,2349,1404.00,7.247080585
T0,0,High -,R4,2148,2895,1307.00,7.175489714
T0,0,High -,R4,1999,2274,2629.00,7.874358825
T0,0,High -,R4,2020,2599,1453.00,7.281385664
T0,0,High -,R4,2437,3122,1531.00,7.333676396
T0,0,High -,R4,1805,2050,1187.00,7.079184395
T0,0,High -,R4,1981,2986,2631.00,7.875119281
T0,0,High -,R4,2369,2965,1320.00,7.185387016
T0,0,High -,R4,2411,2975,1168.00,7.063048163
T0,0,High -,R4,2348,3211,1191.00,7.082548569
T0,0,High -,R4,2236,2610,1136.00,7.035268599
T0,0,High -,R4,2605,3311,1510.00,7.31986493
T0,0,High -,R4,1601,2017,1633.00,7.398174093
T0,0,High -,R4,2084,2547,986.00,6.893656355
T0,0,High -,R4,2403,2986,3207.00,8.0730912
T0,0,High -,R4,1599,2244,906.00,6.809039306
T0,0,High -,R4,1951,2993,2780.00,7.930206207
T0,0,High -,R4,2546,3660,1334.00,7.195937226
T0,0,High -,R4,1639,2267,938.00,6.843749949
T0,0,High -,R4,2007,2492,1732.00,7.457032089
T0,0,High -,R4,2790,2699,1276.00,7.151485464
T0,0,High -,R4,2020,2556,1693.00,7.434257382
T0,0,High -,R4,2134,2272,3816.00,8.246958033
T0,0,High -,R4,2197,2654,1139.00,7.037905963
T0,0,High -,R4,1289,1637,1815.00,7.503840747
T0,0,High -,R4,1715,2043,1575.00,7.362010551
T0,0,High -,R4,1496,2353,953.00,6.859614904
T0,0,High -,R4,2087,2267,1357.00,7.21303166
T0,0,High -,R4,2328,2825,1210.00,7.098375639
T0,0,High -,R4,2338,3014,1419.00,7.257707677
T0,0,High -,R4,2465,2741,1219.00,7.105786129
T0,0,High -,R4,1924,2074,1297.00,7.167809184
T0,0,High -,R4,1907,2690,2553.00,7.845024417
T0,0,High -,R4,2596,3072,2403.00,7.784473236
T0,0,High -,R4,2071,2564,1341.00,7.201170883
T0,0,High -,R4,2384,3133,1307.00,7.175489714
T0,0,High -,R4,1959,2626,961.00,6.867974409
T0,0,High -,R4,2278,2842,2713.00,7.905810313
T0,0,High -,R4,2166,3377,1566.00,7.356279877
T0,0,High -,R4,2464,3576,1131.00,7.030857476
T0,0,High -,R4,2317,2764,2714.00,7.90617884
T0,0,High -,R4,2148,2783,1166.00,7.061334367
T0,0,High -,R4,2034,2817,2871.00,7.96241568
T0,0,High -,R4,2081,3254,2030.00,7.615791072
T0,0,High -,R4,2109,2613,1417.00,7.25629724
T0,0,High -,R4,2550,2226,1870.00,7.53369371
T0,0,High -,R4,1514,1900,2029.00,7.61529834
T0,0,High -,R4,1930,2534,3272.00,8.093156698
T0,0,High -,R4,1809,2075,2508.00,7.827240902
T0,0,High -,R4,1772,2490,2277.00,7.730614066
T0,0,High -,R4,2228,1997,1277.00,7.152268856
T0,0,High -,R4,1984,3019,1386.00,7.23417718
T0,0,High -,R4,2170,2535,3116.00,8.044305407
