Time,Condition,Gate,TOF,Extinction,Green
T0,High -,R4,1426.00,1725.00,1273.00
T0,High -,R4,1956.00,1999.00,2349.00
T0,High -,R4,1934.00,2331.00,1471.00
T0,High -,R4,1898.00,1952.00,1894.00
T0,High -,R4,2745.00,3114.00,1453.00
T0,High -,R4,2018.00,2620.00,1622.00
T0,High -,R4,1757.00,1712.00,2104.00
T0,High -,R4,2570.00,1962.00,2892.00
T0,High -,R4,2567.00,2333.00,1480.00
T0,High -,R4,2208.00,2514.00,1080.00
T0,High -,R4,2440.00,2722.00,1383.00
T0,High -,R4,1909.00,2419.00,963.00
T0,High -,R4,2003.00,2199.00,1025.00
T0,High -,R4,1765.00,1949.00,1141.00
T0,High -,R4,2020.00,1811.00,2311.00
T0,High -,R4,2267.00,2766.00,1117.00
T0,High -,R4,1700.00,2133.00,1204.00
T0,High -,R4,1933.00,2503.00,1673.00
T0,High -,R4,2298.00,2562.00,2444.00
T0,High -,R4,2184.00,2315.00,1230.00
T0,High -,R4,2422.00,2619.00,2537.00
T0,High -,R4,1930.00,1966.00,1212.00
T0,High -,R4,2173.00,1809.00,2045.00
T0,High -,R4,1879.00,1104.00,1009.00
T0,High -,R4,1911.00,1872.00,2923.00
T0,High -,R4,2314.00,2131.00,1434.00
T0,High -,R4,2285.00,2968.00,2563.00
T0,High -,R4,1636.00,2493.00,1382.00
T0,High -,R4,2391.00,2425.00,1657.00
T0,High -,R4,2329.00,2583.00,1520.00
T0,High -,R4,1975.00,2342.00,1333.00
T0,High -,R4,2263.00,2344.00,1528.00
T0,High -,R4,2400.00,2939.00,1336.00
T0,High -,R4,2645.00,3292.00,1563.00
T0,High -,R4,1968.00,2196.00,2316.00
T0,High -,R4,2822.00,3201.00,1267.00
T0,High -,R4,2171.00,1804.00,2989.00
T0,High -,R4,2445.00,3391.00,2245.00
T0,High -,R4,2547.00,2203.00,1200.00
T0,High -,R4,1728.00,2016.00,1762.00
T0,High -,R4,2378.00,2550.00,1873.00
T0,High -,R4,2572.00,2818.00,2571.00
T0,High -,R4,2217.00,2526.00,3425.00
T0,High -,R4,1887.00,2301.00,1190.00
T0,High -,R4,2459.00,2442.00,1075.00
T0,High -,R4,2145.00,1395.00,1073.00
T0,High -,R4,1930.00,2531.00,3493.00
T0,High -,R4,1410.00,2035.00,1527.00
T0,High -,R4,2133.00,1788.00,2980.00
T0,High -,R4,2271.00,2244.00,2297.00
T0,High -,R4,2439.00,2087.00,1184.00
T0,High -,R4,1298.00,2002.00,873.00
T0,High -,R4,1317.00,1939.00,1876.00
T0,High -,R4,1551.00,1842.00,1075.00
T0,High -,R4,2009.00,1525.00,992.00
T0,High -,R4,1976.00,2947.00,2231.00
T0,High -,R4,1541.00,2225.00,1480.00
T0,High -,R4,2429.00,2220.00,2715.00
T0,High -,R4,2052.00,1786.00,2705.00
T0,High -,R4,1861.00,2191.00,2384.00
T0,High -,R4,2241.00,2118.00,1004.00
T0,High -,R4,2193.00,2493.00,2109.00
T0,High -,R4,1492.00,1734.00,2095.00
T0,High -,R4,2295.00,1858.00,1068.00
T0,High -,R4,1615.00,2178.00,2138.00
T0,High -,R4,2065.00,2685.00,1224.00
T0,High -,R4,2315.00,2059.00,1759.00
T0,High -,R4,2060.00,2751.00,1442.00
T0,High -,R4,2027.00,2478.00,1144.00
T0,High -,R4,2012.00,1952.00,1287.00
T0,High -,R4,1685.00,2005.00,1999.00
T0,High -,R4,1313.00,1965.00,1612.00
T0,High -,R4,1849.00,1731.00,1516.00
T0,High -,R4,2165.00,2068.00,2050.00
T0,High -,R4,2199.00,2266.00,1992.00
T0,High -,R4,1887.00,1949.00,1296.00
T0,High -,R4,2582.00,1932.00,1797.00
T0,High -,R4,2202.00,2594.00,2200.00
