Bact,Run,Date,Row,Column,Time,InfectTime,Bin,ID,Count,D,CFU,logCFU
SE,4,20230228,B,1,0,48,Low,1,12,0,240,2.382017043
SE,4,20230228,B,2,0,48,Low,2,2,0,40,1.612783857
SE,4,20230228,B,3,0,48,Low,3,1,0,20,1.322219295
SE,4,20230228,B,4,0,48,Low,4,19,1,3800,3.57989787
SE,4,20230228,B,5,0,48,Low,5,1,0,20,1.322219295
SE,4,20230228,B,6,0,48,Low,6,11,0,220,2.344392274
SE,4,20230228,B,7,0,48,Low,7,41,0,820,2.914343157
SE,4,20230228,B,8,0,48,Low,8,34,1,6800,3.832572775
SE,4,20230228,B,9,0,48,Low,9,8,1,1600,3.204391332
SE,4,20230228,B,10,0,48,Low,10,18,1,3600,3.556423121
SE,4,20230228,B,11,0,48,Low,11,51,0,1020,3.009025742
SE,4,20230228,B,12,0,48,Low,12,36,1,7200,3.857392811
SE,4,20230228,C,1,0,48,Low,13,9,1,1800,3.255513713
SE,4,20230228,C,2,0,48,Low,14,87,1,17400,4.240574207
SE,4,20230228,C,3,0,48,Low,15,16,0,320,2.506505032
SE,4,20230228,C,4,0,48,Low,16,30,1,6000,3.778223627
SE,4,20230228,C,5,0,48,Low,17,3,0,60,1.785329835
SE,4,20230228,C,6,0,48,Low,18,30,1,6000,3.778223627
SE,4,20230228,C,7,0,48,Low,19,0,0,0,0
SE,4,20230228,C,8,0,48,Low,20,34,0,680,2.833147112
SE,4,20230228,C,9,0,48,Low,21,14,0,280,2.44870632
SE,4,20230228,C,10,0,48,Low,22,14,1,2800,3.447313109
SE,4,20230228,C,11,0,48,Low,23,29,1,5800,3.763502865
SE,4,20230228,C,12,0,48,Low,24,30,1,6000,3.778223627
SE,4,20230228,F,1,0,48,Hi,1,89,2,178000,5.250422442
SE,4,20230228,F,2,0,48,Hi,2,75,2,150000,5.176094154
SE,4,20230228,F,3,0,48,Hi,3,88,2,176000,5.245515135
SE,4,20230228,F,4,0,48,Hi,4,41,2,82000,4.913819149
SE,4,20230228,F,5,0,48,Hi,5,30,2,60000,4.778158489
SE,4,20230228,F,6,0,48,Hi,6,22,2,44000,4.643462547
SE,4,20230228,F,7,0,48,Hi,7,41,2,82000,4.913819149
SE,4,20230228,F,8,0,48,Hi,8,10,3,2e+05,5.301032167
SE,4,20230228,F,9,0,48,Hi,9,18,2,36000,4.556314564
SE,4,20230228,F,10,0,48,Hi,10,65,2,130000,5.113946693
SE,4,20230228,F,11,0,48,Hi,11,32,2,64000,4.80618676
SE,4,20230228,F,12,0,48,Hi,12,15,2,30000,4.477135731
SE,4,20230228,G,1,0,48,Hi,13,61,2,122000,5.08636339
SE,4,20230228,G,2,0,48,Hi,14,79,2,158000,5.198659836
SE,4,20230228,G,3,0,48,Hi,15,26,2,52000,4.716011695
SE,4,20230228,G,4,0,48,Hi,16,47,2,94000,4.973132474
SE,4,20230228,G,5,0,48,Hi,17,21,3,420000,5.623250324
SE,4,20230228,G,6,0,48,Hi,18,79,2,158000,5.198659836
SE,4,20230228,G,7,0,48,Hi,19,61,2,122000,5.08636339
SE,4,20230228,G,8,0,48,Hi,20,39,2,78000,4.892100171
SE,4,20230228,G,9,0,48,Hi,21,14,3,280000,5.447159582
SE,4,20230228,G,10,0,48,Hi,22,22,3,440000,5.643453664
SE,4,20230228,G,11,0,48,Hi,23,19,3,380000,5.579784739
SE,4,20230228,G,12,0,48,Hi,24,25,3,5e+05,5.698970873
SE,4,20230228,0,0,48,48,Low,1,7,0,140,2.149219113
SE,4,20230228,0,0,48,48,Low,2,12,0,240,2.382017043
SE,4,20230228,0,0,48,48,Low,3,10,0,200,2.303196057
SE,4,20230228,0,0,48,48,Low,4,17,3,340000,5.531480194
SE,4,20230228,0,0,48,48,Low,5,17,1,3400,3.531606632
SE,4,20230228,0,0,48,48,Low,6,13,1,2600,3.415140352
SE,4,20230228,0,0,48,48,Low,7,13,1,2600,3.415140352
SE,4,20230228,0,0,48,48,Low,8,14,0,280,2.44870632
SE,4,20230228,0,0,48,48,Low,9,90,2,180000,5.255274918
SE,4,20230228,0,0,48,48,Low,10,94,2,188000,5.274160159
SE,4,20230228,0,0,48,48,Low,11,11,1,2200,3.342620043
SE,4,20230228,0,0,48,48,Low,12,33,3,660000,5.819544594
SE,4,20230228,0,0,48,48,Low,13,12,1,2400,3.38039216
SE,4,20230228,0,0,48,48,Low,14,43,3,860000,5.934498956
SE,4,20230228,0,0,48,48,Low,15,15,1,3000,3.477265995
SE,4,20230228,0,0,48,48,Low,16,30,0,600,2.778874472
SE,4,20230228,0,0,48,48,Low,18,12,1,2400,3.38039216
SE,4,20230228,0,0,48,48,Low,19,15,3,3e+05,5.477122702
SE,4,20230228,0,0,48,48,Low,20,15,3,3e+05,5.477122702
SE,4,20230228,0,0,48,48,Low,21,12,1,2400,3.38039216
SE,4,20230228,0,0,48,48,Low,22,3,0,60,1.785329835
SE,4,20230228,0,0,48,48,Low,23,24,3,480000,5.681242142
SE,4,20230228,0,0,48,48,Low,24,52,0,1040,3.01745073
SE,4,20230228,0,0,48,48,Hi,1,22,3,440000,5.643453664
SE,4,20230228,0,0,48,48,Hi,2,54,1,10800,4.033463966
SE,4,20230228,0,0,48,48,Hi,3,14,2,28000,4.447173542
SE,4,20230228,0,0,48,48,Hi,4,16,3,320000,5.505151335
SE,4,20230228,0,0,48,48,Hi,5,37,3,740000,5.869232307
SE,4,20230228,0,0,48,48,Hi,6,30,3,6e+05,5.778151974
SE,4,20230228,0,0,48,48,Hi,7,16,3,320000,5.505151335
SE,4,20230228,0,0,48,48,Hi,8,17,3,340000,5.531480194
SE,4,20230228,0,0,48,48,Hi,9,7,1,1400,3.146438135
SE,4,20230228,0,0,48,48,Hi,10,14,1,2800,3.447313109
SE,4,20230228,0,0,48,48,Hi,11,35,3,7e+05,5.84509866
SE,4,20230228,0,0,48,48,Hi,12,45,3,9e+05,5.954242992
SE,4,20230228,0,0,48,48,Hi,13,27,3,540000,5.732394564
SE,4,20230228,0,0,48,48,Hi,14,54,3,1080000,6.033424158
SE,4,20230228,0,0,48,48,Hi,15,37,1,7400,3.869290404
SE,4,20230228,0,0,48,48,Hi,16,51,3,1020000,6.008600598
SE,4,20230228,0,0,48,48,Hi,23,21,2,42000,4.623259631
SE,3,20230213,0,0,0,48,Low,1,52,0,1040,3.01745073
SE,3,20230213,0,0,0,48,Low,2,0,0,0,0
SE,3,20230213,0,0,0,48,Low,3,14,0,280,2.44870632
SE,3,20230213,0,0,0,48,Low,4,0,0,0,0
SE,3,20230213,0,0,0,48,Low,5,9,0,180,2.257678575
SE,3,20230213,0,0,0,48,Low,6,0,0,0,0
